X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
133,-25,1,Australia,2020/05/23 12:32:43+00,-25,133,7111,102,6494,515,27.93041552,,,1.434397412,36,AUS
14.5501,47.5162,2,Austria,2020/05/23 12:32:43+00,47.5162,14.5501,16486,639,15037,810,183.0476106,,,3.876016014,40,AUT
-95.001,60.001,3,Canada,2020/05/23 12:32:43+00,60.001,-95.001,83947,6360,42608,34979,221.7552325,,,7.576208798,124,CAN
114.3055,30.5928,4,China,2020/05/23 12:32:43+00,30.5928,114.3055,84081,4638,79332,111,5.985791759,,,5.516109466,156,CHN
9.5018,56.2639,5,Denmark,2020/05/23 12:32:43+00,56.2639,9.5018,11487,561,10034,892,198.3183255,,,4.883781666,208,DNK
25.7482,61.9241,6,Finland,2020/05/23 12:32:43+00,61.9241,25.7482,6568,306,4800,1462,118.5405935,,,4.658952497,246,FIN
2.2137,46.2276,7,France,2020/05/23 12:32:43+00,46.2276,2.2137,182015,28218,63986,89811,278.8497117,,,15.50311787,250,FRA
10.451526,51.165691,8,Germany,2020/05/23 12:32:43+00,51.165691,10.451526,179730,8242,159391,12097,214.5160388,,,4.58576754,276,DEU
-19.0208,64.9631,9,Iceland,2020/05/23 12:32:43+00,64.9631,-19.0208,1803,10,1791,2,528.3516484,,,0.55463117,352,ISL
-7.6921,53.1424,10,Ireland,2020/05/23 12:32:43+00,53.1424,-7.6921,24506,1592,21060,1854,496.2942981,,,6.496368236,372,IRL
12.5674,41.8719,11,Italy,2020/05/23 12:32:43+00,41.8719,12.5674,228658,32616,136720,59322,378.1857207,,,14.26409747,380,ITA
5.55,52.3167,12,Netherlands,2020/05/23 12:32:43+00,52.3167,5.55,45264,5830,174,39260,264.1630317,,,12.87999293,528,NLD
8.4689,60.472,13,Norway,2020/05/23 12:32:43+00,60.472,8.4689,8332,235,7727,370,153.6917186,,,2.820451272,578,NOR
105.3188,61.524,14,Russia,2020/05/23 12:32:43+00,61.524,105.3188,335882,3388,107936,224558,230.1594839,,,1.008687575,643,RUS
18.6435,60.1282,15,Sweden,2020/05/23 12:32:43+00,60.1282,18.6435,33188,3992,4971,24225,328.617811,,,12.02844402,752,SWE
8.2275,46.8182,16,Switzerland,2020/05/23 12:32:43+00,46.8182,8.2275,30725,1904,27900,921,355.0127805,,,6.196908055,756,CHE
-3,55,17,United Kingdom,2020/05/23 12:32:43+00,55,-3,255544,36475,1142,217927,376.4310534,,,14.2734715,826,GBR
-100,40,18,US,2020/05/23 12:32:43+00,40,-100,1601434,96007,350135,1194984,486.0691617,,,5.995064424,840,USA
